Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore
T1027TS427_1-D1,43.35,0.4853,80.3,,0.4518,,83.1,,0.4437,,81.3,,0.4519,,80.1,,0.4549,,80.9,,0.4504,,81.2,,0.4678,,81.1,,0.4507,,81.2,,0.4683,
T1029TS427_1-D1,47.32,0.4688,96.2,,0.475,,96.6,,0.4757,,96.5,,0.4745,,96.5,,0.4742,,96.6,,0.4744,,96.4,,0.4746,,96.6,,0.4744,,96.3,,0.4752,
T1031TS427_1-D1,71.42,0.8546,81.8,,0.6849,,90.7,,0.722,,80.9,,0.6857,,90.9,,0.721,,80.7,,0.6863,,90.9,,0.7198,,81.2,,0.6922,,90.4,,0.7199,
T1033TS427_1-D1,81.84,0.8888,91,,0.8325,,94.1,,0.8334,,91.4,,0.8328,,93.9,,0.8323,,91.1,,0.8321,,93.8,,0.8322,,91.3,,0.8318,,93.8,,0.8317,
T1037TS427_1-D1,79.01,0.9585,94.2,,0.7912,,96,,0.7921,,94.7,,0.7924,,96.1,,0.7918,,94.7,,0.7922,,96,,0.7918,,94.8,,0.7924,,96,,0.7909,
T1039TS427_1-D1,71.71,0.8612,86.7,,0.7379,,89.2,,0.7268,,87.5,,0.6961,,89,,0.7281,,87.6,,0.7427,,88.8,,0.7312,,87.9,,0.7431,,88.6,,0.7331,
T1040TS427_1-D1,74.08,0.7836,92.5,,0.744,,95.1,,0.7419,,93.8,,0.7444,,95.4,,0.7443,,94.2,,0.7441,,95.4,,0.7439,,94.9,,0.7446,,95.3,,0.7449,
T1041TS427_1-D1,82.82,0.9528,91.4,,0.8346,,94,,0.8324,,92.7,,0.8349,,93.6,,0.8319,,93.1,,0.8345,,93.4,,0.8317,,92.5,,0.8341,,93.5,,0.8315,
T1042TS427_1-D1,83.15,0.9364,91.8,,0.8264,,92.6,,0.8253,,92.5,,0.8262,,92.6,,0.8253,,92.7,,0.8265,,92.6,,0.8248,,92.6,,0.8266,,92.5,,0.8247,
T1043TS427_1-D1,75.05,0.8788,91.1,,0.7548,,93.4,,0.753,,92.4,,0.7562,,93.1,,0.7548,,92.2,,0.7559,,92.8,,0.7544,,91.9,,0.7551,,92.4,,0.7544,
T1047s1TS427_1-D1,75.18,0.5589,89.3,,0.755,,94.1,,0.7573,,89.1,,0.7554,,93.7,,0.7576,,89.1,,0.7531,,93.5,,0.757,,89.5,,0.7531,,93.3,,0.7573,
T1047s2TS427_1,77.57,0.7731,91.8,,0.7786,,94.5,,0.7757,,91,,0.779,,94.2,,0.7757,,91.1,,0.7787,,94,,0.7753,,91.3,,0.7785,,93.8,,0.775,
T1055TS427_1-D1,73.65,0.8978,81.4,,0.7343,,84.8,,0.747,,81.6,,0.736,,84.5,,0.7485,,81.7,,0.7348,,84.4,,0.7457,,81.4,,0.7364,,84.4,,0.7438,
T1058TS427_1,82.62,0.9561,98,,0.8252,,97.4,,0.8259,,98,,0.8251,,97.3,,0.8263,,98,,0.8247,,97.3,,0.826,,98,,0.8247,,97.2,,0.826,
T1064TS427_1-D1,74.67,0.8117,91.9,,0.7493,,92.9,,0.7496,,92.7,,0.7485,,92.1,,0.7478,,92.8,,0.7485,,91.1,,0.7475,,93,,0.7486,,90,,0.7488,
T1074TS427_1-D1,83.62,0.9160,86.4,,0.8398,,89.5,,0.8395,,86,,0.8394,,87.9,,0.8388,,86,,0.8394,,87,,0.8388,,85.7,,0.8413,,86.6,,0.8395,
T1090TS427_1-D1,82.77,0.9148,95.3,,0.8291,,96.2,,0.826,,95.3,,0.8291,,96,,0.8263,,95.4,,0.8281,,95.8,,0.8259,,95.5,,0.8285,,95.7,,0.8263,
T1093TS427_1,74.99,0.9356,95,,0.7457,,96.1,,0.7477,,95.2,,0.7475,,96.2,,0.7492,,95.3,,0.746,,96.3,,0.7487,,95.3,,0.7515,,96.2,,0.7484,
T1094TS427_1,75.42,0.9101,93.6,,0.7522,,95.3,,0.7538,,94.6,,0.7541,,95.3,,0.7539,,94.9,,0.7524,,95.4,,0.7543,,95.1,,0.7535,,95.4,,0.7543,
T1096TS427_1,72.69,0.5585,92.5,,0.7289,,95.7,,0.7273,,92.8,,0.7268,,95.7,,0.7279,,93.3,,0.7314,,93.3,,0.7314,,92.8,,0.7268,,95.6,,0.7271,
