Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1029TS009_1-D1,46.16,0.4608,93.8,0.886,0.4737,0.4698,47.9,0.333,0.437,0.5154,94.2,0.888,0.4728,0.4681,51.8,0.366,0.4253,0.4458,94.1,0.888,0.4724,0.4678,54,0.394,0.4308,0.451,93.7,0.884,0.4714,0.4675,61.1,0.474,0.4444,0.4775,009
T1031TS009_1-D1,51.28,0.5380,77.4,0.606,0.6777,0.8086,56.9,0.392,0.3107,0.2174,77.3,0.597,0.6536,0.7801,58.5,0.4,0.312,0.222,77.7,0.622,0.6698,0.7966,58.3,0.383,0.3111,0.2161,78.2,0.625,0.6681,0.795,60.3,0.389,0.3103,0.2124,009
T1033TS009_1-D1,59.96,0.6558,73.9,0.588,0.7711,0.8662,51.4,0.331,0.3562,0.2558,72.8,0.616,0.7526,0.8497,52.7,0.263,0.3611,0.2546,72.1,0.558,0.682,0.7009,55,0.255,0.3639,0.3028,71.4,0.593,0.7349,0.7749,59.9,0.257,0.3663,0.3358,009
T1037TS009_1-D1,55.07,0.7938,77.7,0.8,0.7162,0.8562,29.3,0.196,0.2094,0.1673,76.9,0.795,0.7089,0.8485,29.2,0.291,0.2196,0.2135,77.5,0.796,0.7144,0.859,29,0.291,0.2222,0.2165,77.4,0.797,0.7153,0.8546,28.7,0.291,0.2242,0.2267,009
T1041TS009_1-D1,53.55,0.7261,75.3,0.771,0.7937,0.9078,32.3,0.206,0.2576,0.2329,76,0.773,0.7287,0.8683,34.2,0.282,0.2236,0.1758,76.4,0.782,0.7312,0.8697,44.4,0.378,0.2285,0.23,76.9,0.786,0.7384,0.8722,55.2,0.47,0.2249,0.2074,009
T1042TS009_1-D1,53.82,0.6053,62.8,0.52,0.6243,0.6957,34,0.208,0.286,0.2062,70.7,0.601,0.5901,0.6959,32,0.249,0.2908,0.2327,71.4,0.644,0.6899,0.7211,32.3,0.249,0.2943,0.2304,72.6,0.66,0.6823,0.7345,32.1,0.249,0.2958,0.2377,009
T1043TS009_1-D1,48.49,0.5467,32.7,0.231,0.2043,0.2046,36.7,0.289,0.2364,0.1853,33.2,0.245,0.2027,0.199,36,0.276,0.2535,0.2529,32.8,0.228,0.2358,0.2203,39.7,0.326,0.2588,0.2482,35.3,0.308,0.2765,0.2942,45.4,0.384,0.2599,0.2474,009
T1049TS009_1-D1,58.15,0.7323,87.4,0.825,0.8393,0.9279,31.2,0.202,0.2544,0.2327,86.8,0.825,0.8524,0.9296,30.4,0.193,0.2613,0.2355,86.3,0.82,0.8513,0.9304,30.3,0.196,0.2461,0.2263,85.5,0.811,0.8518,0.9288,29.5,0.191,0.2444,0.2272,009
T1090TS009_1-D1,57.35,0.7568,87.8,0.853,0.8178,0.9268,32.9,0.26,0.2322,0.2221,89.4,0.86,0.8359,0.9346,36.6,0.295,0.2443,0.2444,90.2,0.877,0.8223,0.916,35.9,0.319,0.2491,0.2154,90.5,0.867,0.8398,0.9369,37.7,0.33,0.2528,0.2199,009
T1031TS129_1-D1,58.28,0.7100,79,0.638,0.6919,0.7858,56.9,0.409,0.3107,0.2174,79.1,0.637,0.7103,0.8039,58.5,0.417,0.312,0.222,77.4,0.593,0.6556,0.7697,58.3,0.4,0.3111,0.2161,77.7,0.593,0.6369,0.7598,60.3,0.406,0.3103,0.2124,129
T1037TS129_1D1,56.72,0.8090,78.4,0.806,0.6953,0.8397,29.3,0.164,0.2109,0.1649,79.1,0.8,0.7187,0.8585,29.4,0.176,0.2211,0.2201,79.6,0.802,0.7161,0.8538,29.2,0.177,0.222,0.2248,79.4,0.801,0.7161,0.8534,28.9,0.17,0.2341,0.2052,129
T1040TS129_1-D1,55.22,0.5051,57.2,0.382,0.6528,0.634,40.4,0.25,0.379,0.3111,58.6,0.487,0.5711,0.5351,41.9,0.269,0.3868,0.3002,61.2,0.404,0.7036,0.6471,43.7,0.288,0.3917,0.2874,66.4,0.487,0.6493,0.5851,45.4,0.29,0.3916,0.2887,129
T1041TS129_1-D1,60.16,0.7672,77.1,0.804,0.8142,0.9216,32.3,0.206,0.2576,0.2329,78.2,0.813,0.7753,0.8779,34.2,0.282,0.2236,0.1758,77.2,0.803,0.7747,0.8783,44.4,0.378,0.2285,0.23,77.2,0.804,0.774,0.8794,55.2,0.47,0.225,0.2073,129
T1042TS129_1-D1,56.17,0.7266,64.5,0.545,0.6525,0.5455,31.4,0.175,0.2753,0.2086,71.1,0.614,0.626,0.7319,32,0.228,0.2777,0.2479,72.7,0.638,0.6664,0.697,32.9,0.241,0.2889,0.257,72.7,0.635,0.6664,0.7156,35.1,0.265,0.2858,0.2459,129
T1049TS129_1-D1,55.21,0.6744,87.4,0.825,0.8393,0.9279,31.2,0.204,0.2544,0.2327,86.8,0.825,0.8524,0.9296,30.4,0.194,0.2613,0.2355,86.3,0.82,0.8513,0.9304,30.3,0.197,0.2461,0.2263,85.5,0.811,0.8518,0.9288,29.5,0.193,0.2444,0.2272,129
T1074TS129_1-D1,49.54,0.5912,68.3,0.621,0.8103,0.8964,35,0.256,0.3594,0.3932,68.5,0.619,0.8137,0.8967,36.7,0.267,0.3795,0.4346,67.7,0.612,0.8149,0.9004,39.6,0.275,0.3962,0.4606,67.2,0.611,0.8163,0.9015,42.3,0.297,0.384,0.423,129
T1090TS129_1-D1,51.62,0.6727,87.8,0.853,0.8178,0.9268,32.1,0.237,0.2395,0.235,89.4,0.86,0.8359,0.9346,37.2,0.301,0.2366,0.2353,89.9,0.863,0.8351,0.9332,35.8,0.311,0.2488,0.21,90,0.876,0.7986,0.8994,42.4,0.376,0.2491,0.2205,129
T1096TS129_1,61.31,0.5387,76.7,0.547,0.7176,0.5365,30.1,0.19,0.2996,0.2157,75.8,0.543,0.7242,0.5383,32.6,0.241,0.3155,0.1895,76,0.545,0.7241,0.5394,33.2,0.255,0.3154,0.1904,74.3,0.537,0.7258,0.5412,35.2,0.285,0.3164,0.1901,129
T1027TS403_1-D1,53.27,0.5499,67.2,0.637,0.4285,0.4787,35.7,0.28,0.3897,0.4024,69.3,0.675,0.441,0.485,53.5,0.503,0.3689,0.3318,68.5,0.655,0.4333,0.472,56.5,0.544,0.4423,0.473,68.7,0.646,0.4339,0.4743,56.7,0.542,0.4424,0.4767,403
T1031TS403_1-D1,58.05,0.6284,77.4,0.606,0.6777,0.8086,56.9,0.392,0.3107,0.2174,80.5,0.65,0.6909,0.8194,58.5,0.4,0.312,0.222,79.4,0.649,0.7445,0.8429,58.3,0.383,0.3111,0.2161,80.2,0.668,0.7341,0.8173,60.3,0.389,0.3103,0.2124,403
T1033TS403_1-D1,69.01,0.6955,73.9,0.64,0.7711,0.8662,51.4,0.331,0.3562,0.2558,73.9,0.646,0.7713,0.8002,52.7,0.263,0.3611,0.2546,74.1,0.643,0.7649,0.7907,55,0.255,0.3639,0.3028,73.8,0.614,0.7563,0.7986,59.9,0.257,0.3663,0.3358,403
T1037TS403_1-D1,61.10,0.8384,79.8,0.81,0.7128,0.8552,29.3,0.196,0.2094,0.1673,79.1,0.8,0.7187,0.8585,29.2,0.291,0.2196,0.2135,79.6,0.802,0.7161,0.8538,29,0.291,0.2222,0.2165,79.4,0.801,0.7161,0.8534,28.7,0.291,0.2242,0.2267,403
T1039TS403_1-D1,54.38,0.7181,84.7,0.83,0.7041,0.8593,44.3,0.256,0.3417,0.2828,85.5,0.835,0.6968,0.8472,46.6,0.294,0.3597,0.3017,85.2,0.829,0.6984,0.8476,45.5,0.298,0.3419,0.3086,85.2,0.828,0.6987,0.8472,45.1,0.289,0.3476,0.2875,403
T1041TS403_1-D1,62.17,0.7787,79.1,0.8,0.673,0.8121,32.3,0.206,0.2576,0.2329,78.9,0.797,0.6796,0.8167,34.2,0.282,0.2236,0.1758,79.8,0.818,0.669,0.8057,44.4,0.378,0.2285,0.23,78.8,0.797,0.6817,0.8162,55.2,0.47,0.2249,0.2074,403
T1042TS403_1-D1,59.15,0.7533,64.5,0.545,0.6525,0.5455,34,0.208,0.286,0.2062,75.4,0.683,0.6809,0.6603,32,0.249,0.2909,0.2328,73.9,0.669,0.6849,0.6667,32.3,0.249,0.2943,0.2304,75.3,0.682,0.676,0.6846,32.1,0.249,0.2957,0.2377,403
T1043TS403_1-D1,59.79,0.7211,32.7,0.231,0.2043,0.2046,36.7,0.289,0.2364,0.1853,33.2,0.245,0.2026,0.199,36,0.276,0.2535,0.2529,32.8,0.228,0.2359,0.2208,39.7,0.326,0.2588,0.2482,34.6,0.287,0.2686,0.2937,45.4,0.384,0.2599,0.2474,403
T1049TS403_1-D1,60.26,0.7354,87.4,0.825,0.8393,0.9279,31.2,0.202,0.2544,0.2327,86.8,0.825,0.8524,0.9296,30.4,0.193,0.2613,0.2355,86.3,0.82,0.8513,0.9304,30.3,0.196,0.2461,0.2263,85.5,0.811,0.8518,0.9288,29.5,0.191,0.2444,0.2272,403
T1090TS403_1-D1,58.45,0.7347,88.6,0.856,0.8233,0.9159,32.9,0.26,0.2322,0.2221,90.1,0.859,0.8479,0.9332,36.6,0.295,0.2444,0.2447,90.8,0.862,0.8459,0.9311,35.9,0.319,0.2491,0.2154,91.1,0.863,0.8434,0.9294,37.7,0.33,0.2528,0.2199,403
T1096TS403_1,59.09,0.4971,74.7,0.562,0.6192,0.5071,30.2,0.215,0.3001,0.1917,75.4,0.544,0.624,0.5111,30.6,0.214,0.3139,0.194,76,0.545,0.7241,0.5394,30.2,0.214,0.3131,0.1921,74.3,0.537,0.7258,0.5412,30.3,0.214,0.3109,0.1894,403
T1031TS473_1-D1,61.97,0.7264,77.4,0.606,0.6777,0.8086,56.9,0.392,0.3107,0.2174,80.5,0.65,0.6909,0.8194,58.5,0.4,0.312,0.222,79.3,0.631,0.6826,0.8081,58.3,0.383,0.3111,0.2161,79.8,0.638,0.6831,0.8051,60.3,0.389,0.3103,0.2124,473
T1033TS473_1-D1,68.94,0.7821,75.3,0.579,0.752,0.832,51.4,0.331,0.3562,0.2558,74.2,0.587,0.7639,0.8515,52.7,0.263,0.3611,0.2546,73.3,0.565,0.7506,0.834,55,0.255,0.3639,0.3028,73.4,0.562,0.7514,0.836,59.9,0.257,0.3663,0.3358,473
T1037TS473_1-D1,57.69,0.8079,79.8,0.81,0.7128,0.8552,29.3,0.196,0.2094,0.1673,79.1,0.8,0.7187,0.8585,29.2,0.291,0.2197,0.2134,79.6,0.802,0.7161,0.8538,29,0.291,0.2222,0.2165,79.4,0.801,0.7161,0.8534,28.7,0.291,0.2241,0.2265,473
T1039TS473_1-D1,60.11,0.7982,84.7,0.83,0.7041,0.8593,44.3,0.256,0.3417,0.2828,85.5,0.835,0.6968,0.8472,46.6,0.294,0.3597,0.3017,85.3,0.805,0.7111,0.8686,45.5,0.298,0.3419,0.3087,85.4,0.808,0.71,0.8682,45.1,0.289,0.3476,0.2876,473
