Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore
T1027TS427_1-D1,43.35,0.4853,71.6,0.669,0.4231,0.4697,33.3,0.255,0.2689,0.2484,70.9,0.674,0.4345,0.4713,34.4,0.254,0.2575,0.2225,70.4,0.668,0.4323,0.4728,35.8,0.262,0.264,0.2216,68.7,0.646,0.4339,0.4743,37.4,0.263,0.2887,0.2526
T1029TS427_1-D1,47.32,0.4688,94.6,0.89,0.4713,0.4689,46.2,0.356,0.4181,0.4741,95,0.896,0.4715,0.4674,48.2,0.366,0.4369,0.4603,95,0.896,0.4709,0.4664,51.2,0.389,0.4387,0.4499,94.9,0.894,0.4712,0.4654,52.6,0.401,0.4365,0.4441
T1031TS427_1-D1,71.42,0.8546,80,0.645,0.6903,0.8132,48.3,0.313,0.3126,0.2236,79.4,0.636,0.7095,0.8535,54,0.346,0.3493,0.3651,77.8,0.616,0.7073,0.8518,55.2,0.35,0.3493,0.3675,78.2,0.62,0.7051,0.8505,54.2,0.347,0.3481,0.3656
T1033TS427_1-D1,81.84,0.8888,73.9,0.64,0.7711,0.8663,51.3,0.283,0.3547,0.2526,74.9,0.671,0.7629,0.8347,52.5,0.38,0.373,0.2673,74.3,0.645,0.7439,0.8167,51.9,0.369,0.3715,0.2661,72.5,0.597,0.727,0.8076,51.3,0.357,0.3696,0.2642
T1037TS427_1-D1,79.01,0.9585,78.4,0.806,0.6953,0.8397,29.1,0.175,0.2276,0.1847,78.5,0.815,0.7058,0.8598,29.4,0.173,0.2388,0.1945,78.5,0.815,0.7023,0.8546,29.1,0.173,0.238,0.2011,78.4,0.816,0.7006,0.8519,28.7,0.178,0.2224,0.2266
T1039TS427_1-D1,71.71,0.8612,85.7,0.839,0.6943,0.8454,43.2,0.263,0.3442,0.2694,87.1,0.845,0.7404,0.8731,38.4,0.237,0.3256,0.2812,86.1,0.839,0.6927,0.8403,40.1,0.256,0.3551,0.3318,86.3,0.84,0.6858,0.8402,38.5,0.241,0.3363,0.2866
T1040TS427_1-D1,74.08,0.7836,57.2,0.382,0.6528,0.634,39.9,0.244,0.3322,0.2669,60.1,0.383,0.652,0.5816,41.6,0.259,0.3427,0.2889,63.6,0.497,0.6658,0.6435,41.8,0.243,0.3919,0.2932,67.1,0.552,0.6665,0.6429,42.7,0.263,0.3916,0.2875
T1041TS427_1-D1,82.82,0.9528,77.1,0.804,0.8142,0.9216,32.6,0.204,0.257,0.2368,78.6,0.809,0.8204,0.923,33.2,0.25,0.2178,0.1928,82,0.84,0.823,0.9233,39.2,0.337,0.2226,0.1772,80.7,0.822,0.812,0.9161,41,0.357,0.221,0.1847
T1042TS427_1-D1,83.15,0.9364,60.3,0.5,0.6485,0.6614,31.3,0.164,0.2882,0.2693,71.4,0.634,0.6714,0.6633,31.5,0.163,0.3064,0.2704,73.6,0.664,0.6932,0.7263,30.9,0.157,0.3053,0.2629,74.4,0.681,0.694,0.7445,31,0.161,0.307,0.2599
T1043TS427_1-D1,75.05,0.8788,32.1,0.2,0.1934,0.2481,34.4,0.27,0.2395,0.2503,33.2,0.245,0.214,0.2059,34.6,0.286,0.2406,0.1761,30.5,0.176,0.2012,0.2148,33.8,0.282,0.2364,0.1755,31.8,0.244,0.2245,0.2063,38.5,0.337,0.2419,0.1955
