Model,Base_lDDT-Cα,R1M_lDDT-Cα,R1S_lDDT-Cα,R3M_lDDT-Cα,R3S_lDDT-Cα,R6M_lDDT-Cα,R6S_lDDT-Cα,R12M_lDDT-Cα,R12S_lDDT-Cα
T1029TS009_1-D1,0.5548,0.5589,0.554,0.5582,0.5533,0.5565,0.5521,0.557,0.5548
T1031TS009_1-D1,0.5812,0.768,0.5826,0.7662,0.584,0.7601,0.5846,0.7557,0.5848
T1033TS009_1-D1,0.7178,0.7686,0.7141,0.8386,0.7114,0.8138,0.7044,0.7996,0.7071
T1037TS009_1-D1,0.6285,0.7578,0.6424,0.7723,0.6451,0.7694,0.6455,0.7673,0.6449
T1041TS009_1-D1,0.623,0.7766,0.6193,0.8785,0.6201,0.8845,0.6201,0.8837,0.6198
T1042TS009_1-D1,0.6167,0.6472,0.6193,0.6452,0.6192,0.643,0.6201,0.6443,0.6219
T1043TS009_1-D1,0.5556,0.5668,0.5602,0.5666,0.5632,0.5645,0.5645,0.5625,0.5669
T1049TS009_1-D1,0.6646,0.8915,0.6993,0.9013,0.7022,0.9113,0.7045,0.9175,0.7044
T1090TS009_1-D1,0.6675,0.8882,0.6853,0.9004,0.69,0.9041,0.6923,0.8975,0.6939
T1031TS129_1-D1,0.6634,0.768,0.7035,0.7662,0.6869,0.7601,0.6896,0.7557,0.6949
T1037TS129_1D1,0.6463,0.7712,0.6613,0.7305,0.6619,0.7376,0.6635,0.7356,0.6628
T1040TS129_1-D1,0.6422,0.741,0.6546,0.7338,0.6582,0.7571,0.6546,0.7551,0.6553
T1041TS129_1-D1,0.6954,0.8195,0.7019,0.8814,0.7037,0.8845,0.7056,0.8732,0.7054
T1042TS129_1-D1,0.6512,0.6982,0.6621,0.731,0.6645,0.7523,0.6655,0.7534,0.6665
T1049TS129_1-D1,0.6138,0.8915,0.662,0.9013,0.6777,0.9113,0.6823,0.9175,0.6844
T1074TS129_1-D1,0.5911,0.8934,0.6813,0.9311,0.6757,0.9409,0.7206,0.9137,0.6921
T1090TS129_1-D1,0.6051,0.8882,0.6152,0.9004,0.6161,0.9041,0.6163,0.8998,0.6166
T1096TS129_1,0.7035,0.7597,0.7103,0.7775,0.7145,0.7827,0.715,0.7838,0.7158
T1027TS403_1-D1,0.3364,0.4709,0.4961,0.4864,0.4958,0.484,0.4958,0.4827,0.4974
T1031TS403_1-D1,0.6576,0.768,0.6864,0.7565,0.6912,0.8153,0.6973,0.8425,0.6977
T1033TS403_1-D1,0.7932,0.8522,0.8263,0.8386,0.8261,0.8138,0.8233,0.8437,0.8241
T1037TS403_1-D1,0.6834,0.7138,0.6921,0.7179,0.6925,0.7144,0.6928,0.7118,0.6925
T1039TS403_1-D1,0.6432,0.7919,0.653,0.8098,0.6615,0.7923,0.677,0.7884,0.6882
T1041TS403_1-D1,0.7209,0.8661,0.7203,0.7489,0.7234,0.8845,0.7258,0.8732,0.7257
T1042TS403_1-D1,0.6703,0.729,0.6797,0.7308,0.6815,0.7293,0.6824,0.7294,0.6824
T1043TS403_1-D1,0.6923,0.7109,0.7054,0.7099,0.7094,0.7117,0.71,0.7132,0.7103
T1049TS403_1-D1,0.6639,0.8915,0.6975,0.9013,0.7061,0.9113,0.6951,0.9175,0.6936
T1090TS403_1-D1,0.6569,0.8851,0.6779,0.9004,0.6902,0.896,0.6908,0.8927,0.6907
T1096TS403_1,0.681,0.8053,0.687,0.8109,0.6857,0.7056,0.6868,0.7,0.6867
T1031TS473_1-D1,0.6865,0.768,0.6952,0.7565,0.6959,0.7517,0.6947,0.7574,0.6949
T1033TS473_1-D1,0.762,0.8086,0.7764,0.8386,0.7789,0.8138,0.7805,0.8357,0.7815
T1037TS473_1-D1,0.6505,0.6765,0.6579,0.6855,0.6594,0.6838,0.6589,0.6832,0.6598
T1039TS473_1-D1,0.715,0.7919,0.7201,0.8098,0.7192,0.7922,0.719,0.7884,0.7187
T1041TS473_1-D1,0.6473,0.8661,0.6567,0.6835,0.6566,0.8758,0.6569,0.8839,0.6566
T1042TS473_1-D1,0.7059,0.7309,0.7222,0.7349,0.7244,0.7347,0.7255,0.735,0.7256
T1043TS473_1-D1,0.6207,0.6532,0.655,0.6557,0.6634,0.6562,0.6708,0.6583,0.6723
T1049TS473_1-D1,0.6995,0.8915,0.7151,0.9013,0.7163,0.9113,0.7153,0.9175,0.7155
T1074TS473_1-D1,0.5582,0.8934,0.5746,0.9311,0.576,0.9409,0.5792,0.9137,0.5803
T1090TS473_1-D1,0.7056,0.7146,0.7111,0.8966,0.7112,0.7142,0.7114,0.8998,0.7121
T1031TS480_1-D1,0.7011,0.768,0.7123,0.7662,0.7126,0.7601,0.7119,0.7557,0.7141
T1037TS480_1-D1,0.6061,0.6325,0.6101,0.639,0.6125,0.6508,0.6131,0.6587,0.6131
T1041TS480_1-D1,0.6366,0.8743,0.6452,0.8814,0.6426,0.8845,0.6437,0.8732,0.6451
T1042TS480_1-D1,0.6561,0.672,0.6592,0.6689,0.6622,0.6665,0.6627,0.6658,0.6629
T1049TS480_1-D1,0.6822,0.8916,0.7282,0.9048,0.7339,0.9161,0.7263,0.9181,0.7272
T1074TS480_1-D1,0.4841,0.8969,0.498,0.9061,0.4952,0.9129,0.4946,0.9154,0.4939
T1090TS480_1-D1,0.6501,0.8882,0.6563,0.9004,0.656,0.9112,0.6573,0.9095,0.6585
T1096TS480_1,0.7554,0.7724,0.7569,0.774,0.7571,0.7724,0.7571,0.771,0.7561
