Model,Base_lDDT,Base_Tmscore,R1M_plDDT,R1M_pTM,R1M_lDDT,R1M_Tmscore,R1S_plDDT,R1S_pTM,R1S_lDDT,R1S_Tmscore,R3M_plDDT,R3M_pTM,R3M_lDDT,R3M_Tmscore,R3S_plDDT,R3S_pTM,R3S_lDDT,R3S_Tmscore,R6M_plDDT,R6M_pTM,R6M_lDDT,R6M_Tmscore,R6S_plDDT,R6S_pTM,R6S_lDDT,R6S_Tmscore,R12M_plDDT,R12M_pTM,R12M_lDDT,R12M_Tmscore,R12S_plDDT,R12S_pTM,R12S_lDDT,R12S_Tmscore,Group
T1029TS009_1-D1,46.16,0.4608,90.7,,0.4712,,46.2,,0.4181,,92.4,,0.4738,,48.2,,0.4369,,92.6,,0.4742,,51.2,,0.4387,,92.8,,0.4744,,52.6,,0.4365,,009
T1031TS009_1-D1,51.28,0.5380,68.1,,0.5894,,48.3,,0.3126,,75.2,,0.6532,,54,,0.3493,,77.4,,0.6556,,55.2,,0.3493,,77.7,,0.6369,,54.2,,0.3481,,009
T1033TS009_1-D1,59.96,0.6558,73.2,,0.7001,,51.3,,0.3547,,71.9,,0.6867,,52.5,,0.373,,71.3,,0.7316,,51.9,,0.3715,,70.4,,0.7043,,51.3,,0.3696,,009
T1037TS009_1-D1,55.07,0.7938,70.1,,0.6168,,28.9,,0.2077,,70.4,,0.6196,,29.1,,0.2357,,70,,0.6191,,28.8,,0.2356,,70.1,,0.6156,,28.6,,0.235,,009
T1041TS009_1-D1,53.55,0.7261,74.3,,0.6912,,30.3,,0.2124,,74.1,,0.7271,,33.9,,0.2171,,74,,0.7375,,41.1,,0.2241,,74.6,,0.819,,40.7,,0.2247,,009
T1042TS009_1-D1,53.82,0.6053,62.4,,0.6614,,31.3,,0.2865,,70.4,,0.6873,,31.5,,0.307,,70.8,,0.6757,,30.8,,0.3049,,71.9,,0.6705,,31.1,,0.3074,,009
T1043TS009_1-D1,48.49,0.5467,32.1,,0.1934,,34.4,,0.2395,,33.2,,0.214,,34.6,,0.2406,,30.1,,0.1957,,33.8,,0.2364,,31.5,,0.2272,,38.5,,0.2419,,009
T1049TS009_1-D1,58.15,0.7323,75.3,,0.731,,29.1,,0.235,,76.7,,0.7499,,29.7,,0.2368,,77,,0.7551,,29.5,,0.2409,,77.3,,0.758,,29,,0.2424,,009
T1090TS009_1-D1,57.35,0.7568,82.3,,0.7522,,27.5,,0.2072,,87.8,,0.7927,,29.2,,0.23,,89.9,,0.8351,,33.3,,0.2131,,90,,0.8334,,35.4,,0.2221,,009
T1031TS129_1-D1,58.28,0.7100,77.9,,0.7149,,48.3,,0.3126,,77.3,,0.6536,,54,,0.3493,,76.7,,0.7007,,55.2,,0.3493,,77,,0.6995,,54.2,,0.3481,,129
